Company Name,Industry,Symbol,Category
Concord Biotech Ltd.,Healthcare,CONCORDBIO,Smallcap
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,Smallcap
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,Smallcap
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,Smallcap
Cyient Ltd.,Information Technology,CYIENT,Smallcap
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,Smallcap
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,Smallcap
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,Smallcap
Devyani International Ltd.,Consumer Services,DEVYANI,Smallcap
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,Smallcap
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY,Smallcap
EIH Ltd.,Consumer Services,EIHOTEL,Smallcap
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,Smallcap
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,Smallcap
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,Smallcap
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,Smallcap
Engineers India Ltd.,Construction,ENGINERSIN,Smallcap
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,Smallcap
Eris Lifesciences Ltd.,Healthcare,ERIS,Smallcap
Fine Organic Industries Ltd.,Chemicals,FINEORG,Smallcap
Finolex Cables Ltd.,Capital Goods,FINCABLES,Smallcap
Finolex Industries Ltd.,Capital Goods,FINPIPE,Smallcap
Firstsource Solutions Ltd.,Services,FSL,Smallcap
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,Smallcap
